CCOC(=O)C1=C(COc2ccc(cc2)C(=O)C)N(C)C(=O)N[C@H]1c1cccc(c1Cl)Cl ZINC36083924
Clc1ccc(c(c1)C(F)(F)F)NC(=O)C1=NC(=O)[N+](C(=C1)O)C ZINC05626166
CCOc1ccc(cc1)CNC(=O)C1=CC(=O)[NH+]c2c1cc(cc2)S(=O)(=O)N1CCCCC1 ZINC03049271
CCOCCCN1C(=O)C(=O)c2c1c(F)ccc2 ZINC94613560
O=C(N1CCCC1)NC[C@H]1CC[C@H](O1)C(=O)O ZINC94558641
O=C(Cn1c(=O)sc2c1cccc2)OCCOCCn1c(=O)sc2c1cccc2 ZINC25558227
C[C@@H]1C[N@@H+](C[C@@H]1C)C[C@@H](C(C)(C)C)O ZINC86011460
O=C(N1CCC[C@H]1CCc1ccccc1)Nc1nncs1 ZINC47321189
COC(=O)Nc1ccc(cc1)OCCCOc1cc(C)cc(c1)C ZINC59422622
C[C@@H](c1cnc2c(c1)scc2)NCCc1nc2c(s1)CCCC2 ZINC89667165
CCOC(=O)[C@@H]1CC[N@H+](CC1)[C@@H](c1nnnn1C(C)(C)C)C1=Cc2cc(CC)ccc2[NH+]C1=O ZINC06198146
COc1cccc(c1O)[C@H]1Nc2cc(Cl)cc(c2[C@@H]2[C@H]1CC=C2)Cl ZINC14459606
CCN(C(=O)C)Cc1ccccc1NCc1ccc(cc1F)F ZINC79752215
O=C([C@H]1CC(=O)N(C1)c1ccccc1F)N(C)C ZINC32676021
N#CCCn1ncc(c1NC(=O)c1sccc1C#N)C(=O)OCC ZINC93255666
COC[C@H]1CCCCN1C(=O)[C@H]1CCCN(C1)c1nc(C)c2c(n1)cc(cc2)C ZINC14991854
O[C@@H]([C@@H]1OC[C@@H]2N(C1)CCC2)CSc1ccccc1Cl ZINC91723891
CC[NH2+][C@@H](C1C(C1(C)C)(C)C)c1cc(Br)ccc1OCC ZINC91491511
CCn1nc(c(c1)C(=O)NCc1cc[nH+]c(c1)N1CCO[C@@H](C1)C)C(C)C ZINC81048608
C[C@@H]1Oc2ccccc2O[C@@H]1C(=O)N1CCN(C[C@@H]1c1ccccc1)C1CC1 ZINC90688372
O=C(Nc1ccc(cc1)S(=O)(=O)N(C1CCCCC1)C)COc1cccc(c1)n1cnnn1 ZINC09387950
O=C(N1CCC[C@@H]1c1ccccc1C)C[C@H]1N(C=Cc2c1cccc2)C(=O)C ZINC55780516
O=C(N1CCN(CC1)C(=O)Oc1cccc2c1cccc2)Oc1cccc2c1cccc2 ZINC01669393
CCOC(=O)[C@@H]1CCN(CC1)C1=NC2=C(C(=O)[NH+]1)[C@@H](CC(=O)N2)C(=O)Nc1cc(C)ccc1OC ZINC38828316
COc1cc(ccc1OC)S(=O)(=O)NCc1nc2c(n1CC(C)C)nccc2 ZINC64568519
CC[C@@H](c1ccc(cc1)Br)NC(=O)c1ccc(cc1)S(=O)(=O)NC1CC1 ZINC12974658
CCCOc1cc(C[NH2+]Cc2ccc(nc2)Cl)ccc1OC ZINC69753606
C[NH+]([C@@H]1CC[C@@H](C1)NC(=O)c1cccc(c1F)C)C ZINC94004908
C/C(=C\c1ccccc1)/C[N@@H+]([C@@H](c1cccc(c1)S(=O)(=O)N)C)C ZINC92585624
OCCC[C@@H]([NH2+]C[C@H](c1ccc2c(c1)OCO2)O)C ZINC94943781
COc1ccc(cc1[C@@H]([C@]1(C)CCCO1)O)OC ZINC94782020
COc1ccc(cc1)N1CCN([C@@H](C1)C)C(=O)CCCn1nnnc1C[NH+]1CCOCC1 ZINC12318638
Fc1ccc(cc1)[C@@H](N1CCOCC1)CNC(=O)N1CC[C@H](CC1)NS(=O)(=O)c1ccccc1 ZINC32889535
N#Cc1c(SCc2ccccc2Cl)nc(c2c1CCC2)c1cccc(c1)C(F)(F)F ZINC08857316
O=C(N1[C@H]2CC[C@@H]1C[N@H+](CC2)Cc1c[nH]nc1c1cccs1)OC(C)(C)C ZINC93765972
COc1ccccc1CCC(=O)NCCCOc1ccc(cc1)CN1CCN(CC1)c1cccc[nH+]1 ZINC19836634
O=C(Nc1ccccc1Cl)CSc1nnc(s1)C1CC1 ZINC74794717
CCOc1ccc(cc1)N1CC[N+]2C1=N[N+](CC(=O)Nc1noc(c1)C)C(=O)C2=O ZINC08849480
CNC(=O)[C@@H]1CCN(CC1)C(=O)[C@](C(F)(F)F)(N)C ZINC94231932
OCC[C@H]1CCC[N@H+](C1)Cc1c[nH]nc1c1ccc(o1)C ZINC93105931
C[N@H+](Cc1cn(nc1C(C)C)C)Cc1cnn2c1NCCC2 ZINC93867170
